2023-06-14 16:44:14.939 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.941 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.942 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.943 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.944 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.946 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.947 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.948 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.949 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.952 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.953 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.954 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:40    | Unexpected character (П) at position 686.
2023-06-14 16:44:14.956 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.957 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.957 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:40    | Unexpected character (Л) at position 715.
2023-06-14 16:44:14.958 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.960 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.961 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:40    | Unexpected character (Н) at position 760.
2023-06-14 16:44:14.962 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.963 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.964 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.965 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.966 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.967 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.968 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.969 | ERROR | -thread-10 | .ISaDA.NewsProcessor:40    | Unexpected character (С) at position 1203.
2023-06-14 16:44:14.970 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.971 | ERROR | -thread-10 | .ISaDA.NewsProcessor:40    | Unexpected character (п) at position 699.
2023-06-14 16:44:14.971 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.972 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.973 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.973 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.974 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.975 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.976 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.977 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.978 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.979 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.980 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.981 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.982 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.982 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.984 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.985 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.986 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.987 | ERROR | -thread-11 | .ISaDA.NewsProcessor:40    | Unexpected character (Г) at position 590.
2023-06-14 16:44:14.988 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.989 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.989 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.990 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.990 | ERROR | -thread-11 | .ISaDA.NewsProcessor:40    | Unexpected character (Ш) at position 521.
2023-06-14 16:44:14.991 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.992 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.993 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.993 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.994 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.994 | ERROR | -thread-12 | .ISaDA.NewsProcessor:40    | Unexpected character (М) at position 379.
2023-06-14 16:44:14.995 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.996 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.996 | ERROR | -thread-12 | .ISaDA.NewsProcessor:40    | Unexpected character (Н) at position 546.
2023-06-14 16:44:14.996 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.997 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:14.997 | ERROR | -thread-12 | .ISaDA.NewsProcessor:40    | Unexpected character (В) at position 478.
2023-06-14 16:44:14.998 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
